TRL_NUMBER,TRL_STOP_SIGNAL_DELAY,TRL_TARG_SSD_VRT_RFRSH_COUNT,TRL_TARG_ON_TIME,TRL_STOP_SIGNAL_TIME,TRL_STOP_SIGNAL_DURATION,TRL_FIX_ON_TIME,TRL_FIX_ACQ_TIME,TRL_FIX_HOLD_TIME,TRL_FIXATED_TIME
1,44,44,1727,2443,736,1061,1076,648,1724
2,28,28,8636,9085,470,7104,7890,743,8633
3,16,16,15312,15562,270,13913,14704,605,15309
4,40,40,22038,22687,669,20723,21518,518,22036
5,60,60,28881,29863,1003,27549,28332,546,28878
6,12,12,35640,35823,204,34358,35146,491,35637
7,8,8,42483,42599,137,41167,41960,520,42480
8,58,58,49758,50707,985,47977,48774,966,49740
9,54,54,56101,56983,903,54802,55588,510,56098
10,56,56,63060,63976,936,61612,62402,656,63058
11,60,60,70053,71035,1019,68421,69216,818,70034
12,52,52,76929,77778,869,75247,76030,896,76926
13,60,60,83571,84554,1002,82056,82844,725,83569
14,4,4,90547,90597,70,88866,89658,887,90545
15,2,2,97356,97373,37,95675,96472,882,97354
16,18,18,104266,104549,319,102501,103286,961,104247
17,40,40,110609,111258,670,109310,110100,506,110606
18,36,36,117634,118217,603,116119,116914,718,117632
19,54,54,124410,125293,902,122945,123728,680,124408
20,10,10,131203,131353,170,129755,130542,659,131201
21,18,18,138062,138345,303,136564,137356,704,138060
22,20,20,144838,145155,336,143373,144170,666,144836
23,24,24,151598,151980,403,150199,150984,611,151595
24,46,46,158307,159056,770,157008,157798,506,158304
25,14,14,165499,165716,236,163818,164612,885,165497
26,42,42,172075,172758,719,170644,171426,631,172057
27,46,46,179101,179850,769,177453,178240,859,179099
28,22,22,185960,186310,370,184262,185054,904,185958
29,28,28,191654,192104,471,191071,191085,565,191650
30,52,52,198597,199446,869,197115,197899,695,198594
31,38,38,205506,206122,636,203924,204713,790,205503
32,22,22,212282,212631,370,210733,211527,752,212279
33,36,36,219141,219724,602,217543,218341,798,219139
34,42,42,225950,226633,719,224369,225155,777,225932
35,38,38,232726,233342,636,231178,231969,755,232724
36,6,6,239719,239802,104,237987,238783,933,239716
37,54,54,246378,247261,902,244813,245597,779,246376
38,32,32,253221,253737,537,251622,252411,807,253218
39,44,44,259764,260480,736,258432,259225,536,259761
40,12,12,266689,266873,203,265241,266039,648,266687
41,16,16,273649,273898,270,272067,272853,793,273646
42,20,20,280641,280957,336,278876,279667,972,280639
43,46,46,287450,288199,785,285686,286481,951,287432
44,24,24,294193,294576,404,292511,293295,895,294190
45,60,60,300902,301885,1002,299321,300109,791,300900
46,52,52,307662,308511,869,306130,306923,736,307659
47,14,14,314721,314937,237,312939,313737,981,314718
48,8,8,321447,321563,137,319765,320551,893,321444
49,60,60,327973,328955,1002,326575,327365,606,327971
50,44,44,334882,335598,736,333384,334179,701,334880
51,16,16,341925,342174,286,340210,340993,913,341906
52,40,40,348434,349083,669,347019,347807,625,348432
53,24,24,355277,355660,403,353828,354621,653,355274
54,22,22,362319,362669,369,360638,361435,882,362317
55,52,52,369128,369978,885,367464,368249,861,369110
56,8,8,375721,375838,136,374273,375063,656,375719
57,54,54,382764,383646,903,381082,381877,884,382761
58,54,54,389307,390189,903,387908,388691,613,389304
59,58,58,396366,397315,969,394717,395505,858,396363
60,14,14,403008,403225,252,401527,402319,671,402990
61,26,26,409684,410101,436,408336,409133,549,409682
62,26,26,416594,417010,437,415162,415947,644,416591
63,22,22,423403,423753,370,421971,422761,639,423400
64,30,30,430512,430995,503,428780,429575,934,430509
65,12,12,437121,437305,203,435606,436389,730,437119
66,34,34,443964,444513,569,442416,443203,759,443962
67,38,38,450807,451423,636,449225,450017,787,450804
68,28,28,457399,457849,470,456034,456831,566,457397
69,44,44,464458,465174,736,462860,463645,811,464456
70,26,26,471401,471817,437,469669,470459,939,471398
71,48,48,478060,478843,819,476479,477273,769,478042
72,48,48,484936,485719,802,483288,484087,847,484934
73,60,60,491662,492645,1002,490114,490901,759,491660
74,34,34,498605,499154,570,496923,497715,887,498602
75,4,4,505064,505114,70,503733,504529,533,505062
76,34,34,511890,512440,570,510558,511343,544,511887
77,6,6,518800,518883,119,517368,518157,624,518781
78,52,52,525625,526475,869,524177,524971,652,525623
79,20,20,532285,532601,337,530986,531785,497,532282
80,6,6,539494,539577,104,537812,538599,892,539491
81,18,18,546137,546420,319,544622,545413,705,546118
82,26,26,553062,553479,452,551431,552227,817,553044
83,12,12,559988,560171,219,558257,559041,929,559970
84,60,60,566748,567730,1002,565066,565855,890,566745
85,42,42,573640,574323,702,571875,572669,969,573638
86,32,32,580166,580682,536,578685,579483,681,580164
87,32,32,586959,587475,536,585511,586297,660,586957
88,22,22,594051,594401,370,592320,593111,938,594049
89,6,6,600677,600761,103,599129,599925,750,600675
90,50,50,607437,608253,836,605955,606739,695,607434
91,50,50,614446,615262,836,612764,613553,890,614443
92,46,46,621255,622004,769,619574,620367,886,621253
93,6,6,627865,627948,104,626383,627181,681,627862
94,22,22,634857,635207,369,633209,633995,860,634855
95,20,20,641367,641683,337,640018,640809,555,641364
96,6,6,648376,648459,104,646827,647623,750,648373
97,58,58,655352,656300,969,653653,654437,912,655349
98,26,26,662044,662460,452,660463,661251,775,662026
99,48,48,668754,669536,803,667272,668065,686,668751
100,50,50,675679,676495,836,674081,674879,798,675677
101,24,24,681790,682172,404,680907,680910,876,681786
102,12,12,688482,688665,203,686934,687724,756,688480
103,36,36,695125,695708,603,693743,694538,584,695122
104,34,34,702317,702867,569,700569,701352,963,702315
105,58,58,708677,709626,970,707378,708166,508,708674
106,38,38,715736,716352,636,714188,714980,754,715734
107,36,36,722745,723328,603,720997,721794,949,722743
