TRL_NUMBER,TRL_STOP_SIGNAL_DELAY,TRL_TARG_SSD_VRT_RFRSH_COUNT,TRL_TARG_ON_TIME,TRL_STOP_SIGNAL_TIME,TRL_STOP_SIGNAL_DURATION,TRL_FIX_ON_TIME,TRL_FIX_ACQ_TIME,TRL_FIX_HOLD_TIME,TRL_FIXATED_TIME
1,38,38,2456,3072,640,1074,1859,590,2449
2,34,34,9631,10180,573,7883,8673,952,9625
3,28,28,16424,16873,474,14692,15487,930,16417
4,8,8,22800,22917,141,21518,22301,492,22793
5,44,44,29759,30475,741,28327,29115,637,29752
6,60,60,36435,37418,1006,35137,35929,500,36429
7,56,56,43278,44194,940,41946,42743,528,43271
8,14,14,50320,50537,240,48772,49557,757,50314
9,42,42,57213,57895,707,55581,56371,835,57206
10,24,24,64089,64472,406,62391,63185,898,64083
11,36,36,70981,71564,607,69216,69999,976,70975
12,22,22,77757,78107,374,76026,76813,938,77751
13,10,10,84550,84700,173,82835,83627,917,84544
14,52,52,91392,92242,873,89644,90441,945,91386
15,44,44,98052,98768,740,96470,97255,790,98045
16,18,18,104828,105111,307,103280,104069,753,104822
17,6,6,111704,111787,107,110089,110883,815,111698
18,28,28,118263,118713,474,116898,117697,560,118257
19,46,46,125222,125972,773,123724,124511,705,125216
20,46,46,132165,132914,774,130533,131325,833,132158
21,56,56,139008,139923,939,137343,138139,863,139002
22,22,22,145634,145983,373,144169,144953,675,145628
23,46,46,152310,153059,774,150978,151767,536,152303
24,48,48,159102,159885,807,157787,158581,515,159096
25,60,60,166078,167060,1007,164596,165395,676,166071
26,34,34,172804,173354,574,171422,172209,588,172797
27,16,16,179713,179963,274,178232,179023,684,179707
28,46,46,186639,187388,773,185041,185837,796,186633
29,52,52,193448,194298,873,191867,192651,791,193442
30,48,48,200008,200791,807,198676,199465,536,200001
31,4,4,207267,207317,74,205485,206279,981,207260
32,52,52,213893,214742,873,212295,213093,794,213887
33,14,14,220819,221035,240,219121,219907,906,220813
34,52,52,227278,228128,873,225930,226721,551,227272
35,32,32,234171,234687,541,232739,233535,629,234164
36,20,20,240930,241247,340,239565,240349,575,240924
37,24,24,247673,248056,408,246374,247163,503,247666
38,24,24,254882,255265,406,253184,253977,899,254876
39,16,16,261375,261625,274,259993,260791,577,261368
40,18,18,268251,268534,307,266819,267605,639,268244
41,18,18,275077,275360,307,273628,274419,651,275070
42,52,52,281869,282718,873,280438,281233,630,281863
43,40,40,288928,289578,673,287263,288047,875,288922
44,6,6,295571,295654,107,294073,294861,704,295565
45,54,54,302414,303296,907,300882,301675,732,302407
46,8,8,309223,309340,141,307691,308489,727,309216
47,50,50,316232,317048,840,314517,315303,923,316226
48,40,40,323075,323724,673,321327,322117,952,323069
49,20,20,329784,330100,340,328136,328931,847,329778
50,52,52,336510,337359,873,334962,335745,759,336504
51,42,42,343236,343919,706,341771,342559,671,343230
52,44,44,350045,350761,740,348580,349373,666,350039
53,50,50,356888,357704,839,355390,356187,695,356882
54,40,40,363980,364630,672,362216,363001,974,363975
55,10,10,370756,370906,174,369025,369815,935,370750
56,54,54,377482,378365,906,375834,376629,847,377476
57,42,42,384375,385057,706,382660,383443,926,384369
58,44,44,391134,391850,740,389469,390257,871,391128
59,6,6,398010,398093,107,396279,397071,933,398004
60,28,28,404536,404986,474,403088,403885,645,404530
61,58,58,411495,412444,973,409914,410699,790,411489
62,40,40,418022,418671,674,416723,417513,502,418015
63,14,14,425014,425231,241,423532,424327,680,425007
64,40,40,432007,432656,674,430358,431141,859,432000
65,44,44,438899,439615,740,437168,437955,938,438893
66,2,2,445608,445625,41,443977,444769,833,445602
67,12,12,452501,452684,207,450786,451583,912,452495
68,28,28,458977,459427,474,457612,458397,574,458971
69,30,30,465986,466469,507,464421,465211,769,465980
70,4,4,472613,472663,74,471231,472025,581,472606
71,40,40,479771,480421,673,478040,478839,926,479765
72,20,20,486581,486897,340,484866,485653,922,486575
73,32,32,493107,493623,541,491675,492467,633,493100
74,22,22,499966,500316,374,498485,499281,679,499960
75,46,46,506925,507675,773,505310,506095,824,506919
76,16,16,513785,514034,273,512120,512909,870,513779
77,40,40,520710,521360,673,518929,519723,981,520704
78,16,16,527087,527337,274,525738,526537,543,527080
79,16,16,534163,534412,274,532564,533351,805,534156
80,46,46,541055,541804,773,539374,540165,884,541049
81,30,30,547731,548214,507,546183,546979,746,547725
82,30,30,554607,555090,506,553009,553793,808,554601
